facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,hours_since_cleaning,hygiene_risk
F0001,6,3,6.1,4.7,45.5,1,584,5,2026-08-05,8.5,Medium
F0002,7,4,5.9,5.9,54.6,1,106,4,2026-08-03,9.1,Medium
F0003,1,3,3.5,6.2,95.8,1,446,9,2026-06-22,3.1,High
F0004,2,3,10.0,1.0,21.0,1,424,1,2026-03-05,4.6,Low
F0005,1,2,3.0,7.2,54.5,1,133,7,2026-05-29,9.1,High
F0006,1,5,6.8,5.0,30.6,1,496,3,2026-05-17,3.3,Medium
F0007,6,2,4.8,5.0,59.3,1,674,5,2026-06-16,19.5,High
F0008,7,1,5.2,6.8,32.4,1,874,7,2026-06-11,6.3,High
F0009,0,4,2.5,8.5,74.7,1,334,5,2026-08-08,10.2,High
F0010,8,1,5.6,2.5,88.3,1,60,5,2026-03-20,14.8,Medium
F0011,3,0,5.8,5.4,15.5,1,926,5,2026-02-28,26.6,High
F0012,3,2,6.2,4.9,33.5,1,439,4,2026-05-15,9.6,Medium
F0013,0,0,5.5,5.5,33.5,1,130,4,2026-01-01,1.7,Medium
F0014,0,3,7.2,3.2,37.7,1,827,4,2026-05-04,2.1,Medium
F0015,3,5,8.3,3.5,48.8,1,586,1,2026-05-16,1.0,Low
F0016,5,5,6.8,3.4,45.3,1,411,3,2026-07-11,2.8,Low
F0017,7,3,5.0,6.3,59.7,1,447,8,2026-01-31,6.7,High
F0018,0,5,6.5,6.6,28.0,1,454,6,2026-03-09,1.8,Medium
F0019,1,3,3.1,8.3,77.3,1,296,6,2026-01-28,4.2,High
F0020,8,0,7.4,2.6,42.7,1,431,4,2026-08-05,4.5,Low
F0021,1,2,2.6,9.0,100.0,1,612,8,2026-01-08,0.8,High
F0022,4,4,4.5,7.3,75.5,1,367,7,2026-07-19,3.6,High
F0023,0,1,5.8,7.2,46.8,1,48,5,2026-01-30,5.0,Medium
F0024,6,5,7.6,1.3,27.5,1,205,1,2026-03-22,14.4,Low
F0025,0,3,7.5,3.9,17.1,1,244,3,2026-01-21,1.0,Low
F0026,4,4,5.5,4.0,61.5,1,566,5,2026-05-03,9.4,Medium
F0027,1,5,8.3,4.1,0.0,0,564,4,2026-02-21,0.5,Medium
F0028,5,5,4.7,6.5,70.4,0,761,7,2026-03-22,3.5,High
F0029,4,3,5.6,3.7,71.9,1,404,4,2026-03-10,12.7,Medium
F0030,3,4,9.1,3.5,5.4,1,400,3,2026-05-16,3.1,Low
F0031,8,1,6.4,7.4,63.3,1,527,5,2026-05-15,0.5,Medium
F0032,3,3,7.3,1.8,44.1,1,834,6,2026-03-18,8.8,Medium
F0033,7,1,7.7,1.8,37.1,1,522,4,2026-07-03,17.2,Medium
F0034,7,2,2.8,8.2,83.3,1,597,7,2026-03-21,7.3,High
F0035,4,2,9.8,1.0,16.1,1,396,3,2026-05-08,3.0,Low
F0036,9,0,5.0,6.1,50.5,1,528,5,2026-08-24,12.7,High
F0037,3,4,8.0,1.0,33.5,1,748,5,2026-06-29,2.4,Low
F0039,2,3,5.0,5.3,60.4,0,200,9,2026-01-23,0.9,High
F0040,1,1,5.7,3.0,47.5,1,764,4,2026-08-09,1.6,Medium
F0041,3,2,8.7,1.4,20.0,0,332,4,2026-06-01,5.3,Low
F0042,3,3,4.9,6.8,77.2,1,428,5,2026-07-27,6.3,High
F0043,1,0,6.0,5.8,52.3,1,137,4,2026-03-28,4.4,Medium
